trdmn,mkt_rf,smb,hml,umd,rf,smb_equal,hml_equal,umd_equal,rmw,cma,rmw_equal,cma_equal
200703,0.1244093385,0.1093187141,0.029537328,-0.056096941,0.002296,0.0987207839,0.0180512994,-0.06630239,-0.080294193,0.0338829862,-0.08364391,0.0690381031
200704,0.3152893709,0.052836513,0.1013008394,0.1030094579,0.002296,0.0336668103,0.120555349,0.049458469,-0.115000741,0.0455166445,-0.083991379,0.0496804933
200705,0.1094980905,-0.02948188,-0.00128966,0.0065001723,0.002515,0.0070044414,-0.020580716,-0.003369713,0.0331832285,-0.0377844,-0.008197164,0.0191254565
200706,-0.108953121,-0.11284551,-0.076290625,-0.006127492,0.002515,-0.077209603,-0.061984487,0.0131855033,0.1792325204,-0.071304107,0.146689867,-0.072659522
200707,0.1978665544,0.0810711629,0.0381765066,-0.022344645,0.002734,0.0759858238,0.0485979336,-0.081143318,-0.047712464,0.0221554569,-0.045071515,0.0182011583
200708,0.1363147445,-0.022218248,0.0100779898,0.0070558192,0.002952,0.0005490705,0.0052469845,-0.03500183,0.0227318683,-0.011523177,-0.010199862,0.0155793697
200709,0.0498040937,-0.011854311,0.0426489531,0.0284002385,0.003169,-0.003610561,0.0189349627,0.0163774365,0.0449007514,-0.008249455,0.0262615138,-0.008782449
200710,-0.052914062,-0.069543573,-0.059622988,0.0779574144,0.003169,-0.027713633,-0.026591007,0.0424472588,0.1224049315,-0.087448902,0.0708237086,-0.038856996
200711,-0.142034125,0.096439146,0.0336387697,-0.128483805,0.003169,0.0757736124,0.0034740624,-0.127065149,-0.098349084,0.0732048538,-0.078566781,0.0434960847
200712,0.181203081,0.0233846433,0.0055061568,-0.026332506,0.003386,-0.000621698,-0.012007357,-0.002334379,-0.034673133,0.0359368369,-0.004007743,0.0093844579
200801,-0.093557516,0.0379566144,0.0028361737,-0.022418486,0.003386,0.0114818253,-0.000190104,-0.037408724,-0.026297044,0.0173455569,-0.011556873,0.0029114884
200802,0.0451881943,0.0781091922,0.0448173077,-0.039216775,0.003386,0.0559290852,0.0456908848,-0.022372586,-0.045560666,0.048193025,-0.04324813,0.02286529
200803,-0.200644656,0.0215345385,-0.014703542,-0.015948283,0.003386,0.029636741,0.0039673477,-0.035124198,0.0005204773,-0.01590405,-0.010080337,0.0120856639
200804,-0.022491322,-0.066660108,0.0040666138,0.0309076183,0.003386,-0.05240225,-0.003777019,0.0491273268,0.051296515,-0.03140645,0.0498825412,-0.026024727
200805,-0.058670177,0.0390157554,0.0205160714,-0.017518281,0.003386,0.0302461198,0.0101324756,-0.034105783,-0.013362891,0.0128810625,-0.026757526,0.0132763736
200806,-0.241237929,-0.015866629,-0.038310371,0.0162702292,0.003386,-0.006036073,-0.023693974,0.0080404144,0.0160344697,-0.024955616,0.0147396252,-0.010779223
200807,0.0446119803,0.081796387,0.0066506301,-0.0418702,0.003386,0.0566523589,0.0130909776,-0.040984526,-0.039789665,0.0425593568,-0.03094113,0.0253045343
200808,-0.218648931,-0.014591523,0.0173386445,-0.024761796,0.003386,0.0043530962,0.0287457645,-0.024856213,0.0191851309,-0.020774897,-0.007489487,0.0079575873
200809,-0.04266548,-0.070632359,0.0481872042,-0.035994758,0.003386,-0.041360371,0.0257448888,-0.033189067,0.0202005815,-0.015554817,0.0184857084,-0.023355921
200810,-0.27436229,0.02266192,0.0118065993,0.0210150867,0.002952,0.022585171,0.0146856477,0.0076681464,-0.01423273,0.051811885,-0.015590325,0.0404895645
200811,0.1659175264,0.0450817321,-0.002302863,-0.036665848,0.002076,0.0318508774,-0.002715067,-0.06526611,-0.018842261,-0.025432438,-0.022004638,-0.010257197
200812,0.0060233078,0.0716246281,-0.060561388,0.0014329299,0.001856,0.0404025785,-0.07585825,-0.02473807,-0.045453462,0.0107120776,0.0003383366,-0.003032762
200901,0.1297786749,0.0269874538,0.0061925358,-0.142963929,0.001856,-0.010438652,0.0009080493,-0.076281003,-0.032629548,-0.024060563,0.0085210253,-0.029434494
200902,0.0608526346,0.0285116401,0.0179853483,-0.045881381,0.001856,0.0099813646,0.023011951,-0.076652233,-0.04575874,0.0424835404,-0.028140792,0.0284864465
